drop_off_location,stake,ward/stake,time_spent,number_of_adult,number_of_youth,doors_in_route,donation_bags_collected,did_you_complete_more_than_1_route?,neighbourhood,assessed_value,latitude,longitude
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,15,2,3,180,19,Yes,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,90,1,1,156,50,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,90,1,1,200,35,No,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,45,2,0,20,35,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Gateway Stake Centre ,Gateway Stake,Lee Ridge Ward,45,2,165,165,18,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Gateway Stake Centre ,Gateway Stake,Lee Ridge Ward,15,1,0,1,10,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,90,2,0,170,32,No,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,45,1,2,60,20,No,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,45,1,2,140,12,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,45,2,3,134,55,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,15,1,4,128,7,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,45,1,1,156,50,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,15,2,2,100,12,No,WOODBEND,366912.5,53.445935900220604,-113.52831652906862
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,15,2,0,125,20,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,90,3,0,195,40,No,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,0,2,177,19,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Edmonton North Stake Centre,Bonnie Doon Stake,Forest Heights Ward,90,1,1,200,30,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,90,1,1,0,51,No,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,15,1,0,4,1,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,45,2,0,140,21,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,45,2,2,100,40,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,15,2,0,80,6,No,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,45,1,1,250,25,Yes,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,15,3,0,100,20,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,150,5,10,1000,56,Yes,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,15,2,2,150,18,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,45,2,2,140,50,No,GREENFIELD,446000.0,53.47145619249309,-113.52782525979309
Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,15,1,2,125,28,No,WOODBEND,366912.5,53.445935900220604,-113.52831652906862
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,45,2,3,130,35,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,90,2,0,130,16,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,15,1,0,1,2,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,90,2,2,200,23,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Londonderry Ward,45,2,0,40,26,Yes,LONDONDERRY,430500.0,53.546101794086134,-113.44942110872128
Edmonton North Stake Centre,Edmonton North Stake,Griesbach Ward,45,2,0,166,20,No,GRIESBACH,344500.0,53.60444630270371,-113.50392810795728
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,45,2,2,210,20,No,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Bearspaw Chapel,Riverbend Stake,Rutherford Ward,45,2,2,205,21,No,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,150,2,0,0,9,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Lee Ridge Ward,45,4,2,173,17,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,45,2,0,150,40,No,SOUTHGATE,430500.0,53.546101794086134,-113.44942110872128
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,45,2,2,155,22,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,45,2,2,200,35,No,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,45,2,0,154,28,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,45,2,0,128,12,No,SOUTHGATE,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,45,1,2,230,42,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Crawford Plains Ward,45,2,0,131,20,No,CRAWFORD PLAINS,338500.0,53.441123686575025,-113.40661750249465
Gateway Stake Centre ,Gateway Stake,Ellerslie Ward,15,1,2,100,20,No,ELLERSLIE,302000.0,53.42781697992295,-113.46067650742268
Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,45,2,3,150,30,No,TERWILLEGAR PARK,366912.5,53.445935900220604,-113.52831652906862
Edmonton North Stake Centre,Edmonton North Stake,Namao Ward,15,2,0,1751,14,No,NAMAO,344500.0,53.60444630270371,-113.50392810795726
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,90,1,3,169,20,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,90,2,2,153,35,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Riverbend Stake Centre,Riverbend Stake,Devon Ward,90,2,0,150,20,No,DEVON,366912.5,53.445935900220604,-113.52831652906862
Bonnie Doon Stake Centre,Bonnie Doon Stake,Southgate Ward,45,2,0,151,18,No,SOUTHGATE,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,45,3,0,241,50,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,45,2,0,187,45,No,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
