drop_off_location,stake,ward/stake,time_spent,number_of_adult,number_of_youth,doors_in_route,donation_bags_collected,did_you_complete_more_than_1_route?,neighbourhood,assessed_value,latitude,longitude
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,45,1,1,145,26,No,LEE RIDGE,273500.0,53.46902194683747,-113.44352347227604
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,90,2,0,210,18,No,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,15,2,1,60,16,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,45,2,1,150,22,No,FOREST HEIGHTS,430500.0,53.546101794086134,-113.44942110872128
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,15,2,0,9,9,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,45,2,0,167,25,No,WOODBEND,366912.5,53.445935900220604,-113.52831652906862
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,150,2,4,190,20,Yes,BLACKMUD CREEK,442750.0,53.42093135044322,-113.51203757341868
Londonberry Chapel,Bonnie Doon Stake,Clareview Ward,90,2,2,110,30,No,CLAREVIEW,430500.0,53.546101794086134,-113.44942110872128
Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,90,2,0,174,17,No,RUTHERFORD,279500.0,53.41772926139312,-113.52885951089952
Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,45,2,0,212,16,No,CONNORS HILL,430500.0,53.546101794086134,-113.44942110872128
Gateway Stake Centre ,Gateway Stake,Silver Berry Ward,90,2,0,150,20,No,SILVER BERRY,384000.0,53.4595286589349,-113.38209317856865
